,station,year,month,day,hour,precip,wind_speed,wind_gust,distance,category
666,CSAP4,2017,9,20,21,0.0,10.729999542236328,23.25,101.07372739777615,5.0
667,CSAP4,2017,9,20,22,0.0,12.069999694824219,20.559999465942383,101.07372739777615,5.0
668,CSAP4,2017,9,20,23,1.0159912109375,11.170000076293945,19.219999313354492,101.07372739777615,5.0
669,CSAP4,2017,9,21,0,0.2540283203125,8.050000190734863,19.219999313354492,101.07372739777615,5.0
670,CSAP4,2017,9,21,0,0.2540283203125,8.050000190734863,19.219999313354492,178.04009598451518,5.0
671,CSAP4,2017,9,21,1,0.0,9.390000343322754,17.8799991607666,178.04009598451518,5.0
672,CSAP4,2017,9,21,2,0.0,8.9399995803833,16.09000015258789,178.04009598451518,5.0
673,CSAP4,2017,9,21,3,1.27001953125,8.489999771118164,13.859999656677246,178.04009598451518,5.0
674,CSAP4,2017,9,21,4,0.0,7.599999904632568,16.540000915527344,178.04009598451518,5.0
675,CSAP4,2017,9,21,5,0.0,7.599999904632568,14.3100004196167,178.04009598451518,5.0
676,CSAP4,2017,9,21,6,3.302001953125,7.599999904632568,11.619999885559082,178.04009598451518,5.0
677,CSAP4,2017,9,21,6,3.302001953125,7.599999904632568,11.619999885559082,255.03655728000737,5.0
678,CSAP4,2017,9,21,7,0.0,5.809999942779541,10.729999542236328,255.03655728000737,5.0
679,CSAP4,2017,9,21,8,0.0,5.369999885559082,13.859999656677246,255.03655728000737,5.0
680,CSAP4,2017,9,21,9,0.0,6.260000228881836,9.84000015258789,255.03655728000737,5.0
681,CSAP4,2017,9,21,10,0.0,6.260000228881836,10.729999542236328,255.03655728000737,5.0
682,CSAP4,2017,9,21,11,0.0,5.369999885559082,11.619999885559082,255.03655728000737,5.0
683,CSAP4,2017,9,21,12,0.0,5.809999942779541,8.9399995803833,255.03655728000737,5.0
684,CSAP4,2017,9,21,12,0.0,5.809999942779541,8.9399995803833,338.702164248212,5.0
685,CSAP4,2017,9,21,13,0.25396728515625,5.369999885559082,8.9399995803833,338.702164248212,5.0
686,CSAP4,2017,9,21,14,0.0,5.369999885559082,8.050000190734863,338.702164248212,5.0
687,CSAP4,2017,9,21,15,0.0,5.369999885559082,8.489999771118164,338.702164248212,5.0
688,CSAP4,2017,9,21,16,7.36602783203125,8.050000190734863,11.170000076293945,338.702164248212,5.0
689,CSAP4,2017,9,21,17,4.57196044921875,5.369999885559082,10.729999542236328,338.702164248212,5.0
690,CSAP4,2017,9,21,18,0.0,5.809999942779541,10.279999732971191,338.702164248212,5.0
691,CSAP4,2017,9,21,18,0.0,5.809999942779541,10.279999732971191,437.34677919290465,5.0
692,CSAP4,2017,9,21,19,2.2860107421875,5.809999942779541,8.9399995803833,437.34677919290465,5.0
693,CSAP4,2017,9,21,20,0.0,2.680000066757202,9.390000343322754,437.34677919290465,5.0
694,CSAP4,2017,9,21,21,0.0,2.680000066757202,7.599999904632568,437.34677919290465,5.0
695,CSAP4,2017,9,21,22,0.0,2.680000066757202,3.5799999237060547,437.34677919290465,5.0
696,CSAP4,2017,9,21,23,10.66802978515625,5.369999885559082,8.050000190734863,437.34677919290465,5.0
